,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
826,OH55411,California,4626.801093,Yes,Basic,Master,1/16/11,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,547.2,SUV,Medsize
2311,KZ29413,Oregon,15672.69696,No,Extended,Master,1/29/11,Unemployed,M,0,Suburban,Married,139,4,35,0,2,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,Medsize
6390,FS56709,California,2874.074736,No,Basic,Doctor,2/14/11,Employed,M,44084,Urban,Married,72,26,87,0,1,Personal Auto,Personal L2,Offer3,Agent,243.598068,Four-Door Car,Large
8656,SZ61563,California,36632.53432,No,Extended,Bachelor,1/21/11,Employed,M,70908,Urban,Divorced,132,0,71,1,2,Personal Auto,Personal L2,Offer1,Call Center,521.444011,SUV,Medsize
1849,RL59810,Oregon,5137.852105,No,Basic,College,2/18/11,Employed,F,78460,Urban,Married,64,3,93,0,4,Personal Auto,Personal L3,Offer3,Agent,203.568733,Four-Door Car,Medsize
2654,OM63954,California,9264.565015,No,Premium,Bachelor,2/14/11,Employed,F,55837,Suburban,Single,117,16,35,0,9,Personal Auto,Personal L1,Offer2,Agent,741.867506,Two-Door Car,Medsize
506,JY27336,Oregon,8205.387936,No,Basic,College,2/22/11,Employed,F,85840,Rural,Married,102,14,79,2,4,Corporate Auto,Corporate L3,Offer2,Agent,138.722385,SUV,Medsize
2684,TO71844,Oregon,2121.313061,No,Basic,College,2/26/11,Unemployed,M,0,Suburban,Single,67,6,60,1,1,Personal Auto,Personal L2,Offer4,Branch,321.6,Four-Door Car,Large
1690,ZU88029,Oregon,4064.670639,No,Basic,Master,2/28/11,Retired,F,26161,Suburban,Single,109,8,70,0,1,Personal Auto,Personal L3,Offer3,Branch,594.444586,Sports Car,Large
5997,XQ51968,California,5568.947534,Yes,Extended,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,79,21,53,1,7,Corporate Auto,Corporate L3,Offer1,Agent,407.440238,Two-Door Car,Medsize
540,JQ56711,Oregon,5923.117229,No,Basic,Master,2/2/2011,Employed,F,92163,Rural,Married,73,3,79,0,6,Personal Auto,Personal L3,Offer3,Web,66.568642,Two-Door Car,Medsize
8748,QJ31447,California,19339.20282,No,Basic,Master,7/2/2011,Employed,M,22582,Suburban,Married,61,0,74,0,2,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize
303,YR34119,Washington,31161.74523,No,Basic,College,2/2/2011,Employed,F,30916,Rural,Married,112,7,65,0,2,Personal Auto,Personal L1,Offer1,Agent,200.11606,SUV,Small
5989,NQ92014,California,3659.18314,No,Basic,High School or Below,11/2/2011,Unemployed,F,0,Suburban,Single,106,34,39,0,1,Personal Auto,Personal L2,Offer2,Web,763.2,SUV,Medsize
917,FI20423,Arizona,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10,55,0,2,Special Auto,Special L1,Offer2,Web,256.43803,Four-Door Car,Medsize
916,JH62891,Oregon,5178.704151,No,Basic,College,2/2/2011,Employed,F,66943,Rural,Married,65,33,10,1,7,Special Auto,Special L2,Offer3,Call Center,53.084753,Four-Door Car,Medsize
7289,VB59276,Oregon,4018.88493,No,Basic,Bachelor,1/30/11,Unemployed,M,0,Suburban,Married,112,26,27,0,1,Corporate Auto,Corporate L2,Offer3,Web,544.250322,SUV,Medsize
143,YV64727,Washington,6692.143668,No,Premium,High School or Below,2/16/11,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Corporate L3,Offer3,Agent,806.4,SUV,Medsize
4177,NH85248,Arizona,6893.171997,No,Basic,College,1/22/11,Unemployed,M,0,Suburban,Single,68,8,72,0,2,Corporate Auto,Corporate L1,Offer1,Agent,326.4,Two-Door Car,Medsize
